channel_id,channel_url,feed_url,source_family,domain,goal_hint,include_all,notes
,https://www.youtube.com/@Aliyocooking,,YouTube/Aliyocooking,cooking,,true,
,https://www.youtube.com/@SafalburgerPOV,,YouTube/SafalburgerPOV,cooking,,true,
,https://www.youtube.com/@CocineroMX,,YouTube/CocineroMX,cooking,,true,
,https://www.youtube.com/@mr.brownofficial-u1k,,YouTube/mr.brownofficial-u1k,cooking,,true
,https://www.youtube.com/@MrTsKitchen2023,,YouTube/MrTsKitchen2023,cooking,,true,
,https://www.youtube.com/@JKenjiLopezAlt,,YouTube/JKenjiLopezAlt,cooking,,true,
,https://www.youtube.com/@FallowChefs,,YouTube/FallowChefs,cooking,,true,
,https://www.youtube.com/@MrT2022,,YouTube/MrT2022,cooking,,true,
,https://www.youtube.com/@miladpov,,YouTube/miladpov,cooking,,true,
,https://www.youtube.com/@LetsCookAndTalk,,YouTube/LetsCookAndTalk,cooking,,true,
,https://www.youtube.com/@POVAntonTable,,YouTube/POVAntonTable,cooking,,true,
,https://www.youtube.com/@DenisInTheKitchen,,YouTube/DenisInTheKitchen,cooking,,true,
,https://www.youtube.com/@issackxcoffee,,YouTube/issackxcoffee,cooking,,true,
,https://www.youtube.com/@pixxadrum9026,,YouTube/pixxadrum9026,general,,true,
,https://www.youtube.com/@tevideos,,YouTube/tevideos,repair,,true,
,https://www.youtube.com/@masonthedriver,,YouTube/masonthedriver,repair,,true,
,https://www.youtube.com/@dailythingspov2475,,YouTube/dailythingspov2475,general,,true,
,https://www.youtube.com/@certifiedladderholder,,YouTube/certifiedladderholder,construction,,true,
,https://www.youtube.com/@thehomedogllc,,YouTube/thehomedogllc,cooking,,true,
,https://www.youtube.com/@OliverSilentPOV,,YouTube/OliverSilentPOV,home,,true,
,https://www.youtube.com/@StephenPatula,,YouTube/StephenPatula,cooking,,true,
